year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2012,2,Green Bay Packers,Chicago Bears,2012-09-13,8:29PM,Green Bay,/boxscores/201209130gnb.htm,Bears (deferred),,outdoors,grass ,3:12,"70,543",Green Bay Packers -5.5,51.0 (under),60 degrees, relative humidity 67%," no wind, wind chill 0"
2012,2,Buffalo Bills,Kansas City Chiefs,2012-09-16,1:02PM,Buffalo,/boxscores/201209160buf.htm,Bills (deferred),,outdoors,a_turf,3:11,"69,402",Buffalo Bills -3.0,45.0 (over),66 degrees, relative humidity 55%," wind 11 mph, wind chill 0"
2012,2,Cincinnati Bengals,Cleveland Browns,2012-09-16,1:02PM,Cincinnati,/boxscores/201209160cin.htm,Bengals (deferred),,outdoors,fieldturf ,3:16,"63,036",Cincinnati Bengals -7.0,39.5 (over),76 degrees, relative humidity 37%," wind 5 mph, wind chill 0"
2012,2,Arizona Cardinals,New England Patriots,2012-09-16,1:02PM,New England,/boxscores/201209160nwe.htm,Patriots (deferred),,outdoors,fieldturf ,3:19,"68,756",New England Patriots -13.5,47.0 (under),64 degrees, relative humidity 55%," wind 2 mph, wind chill 0"
2012,2,Miami Dolphins,Oakland Raiders,2012-09-16,1:02PM,Miami,/boxscores/201209160mia.htm,Raiders (deferred),,outdoors,grass ,3:10,"54,245",Oakland Raiders -2.0,41.0 (over),80 degrees, relative humidity 75%," wind 8 mph, wind chill 0"
2012,2,Carolina Panthers,New Orleans Saints,2012-09-16,1:03PM,Carolina,/boxscores/201209160car.htm,Saints,,outdoors,grass ,3:09,"72,879",New Orleans Saints -3.0,54.0 (over),71 degrees, relative humidity 85%," wind 4 mph, wind chill 0"
2012,2,Indianapolis Colts,Minnesota Vikings,2012-09-16,1:03PM,Indianapolis,/boxscores/201209160clt.htm,Vikings,,retractable roof (open),fieldturf ,3:12,"63,912",Minnesota Vikings -3.0,45.5 (under),,,
2012,2,Houston Texans,Jacksonville Jaguars,2012-09-16,1:03PM,Jacksonville,/boxscores/201209160jax.htm,Texans,,outdoors,grass ,3:00,"62,907",Houston Texans -7.0,40.0 (under),83 degrees, relative humidity 66%," wind 5 mph, wind chill 0"
2012,2,New York Giants,Tampa Bay Buccaneers,2012-09-16,1:03PM,New York,/boxscores/201209160nyg.htm,Buccaneers (deferred),,outdoors,fieldturf,3:23,"76,964",New York Giants -8.0,43.5 (over),73 degrees, relative humidity 39%," wind 1 mph, wind chill 0"
2012,2,Philadelphia Eagles,Baltimore Ravens,2012-09-16,1:03PM,Philadelphia,/boxscores/201209160phi.htm,Eagles,,outdoors,grass ,3:38,"69,144",Philadelphia Eagles -3.0,47.0 (push),72 degrees, relative humidity 40%," wind 5 mph, wind chill 0"
2012,2,St. Louis Rams,Washington Redskins,2012-09-16,4:05PM,St. Louis,/boxscores/201209160ram.htm,Rams,,dome,astroplay,3:26,"53,979",Washington Redskins -3.5,42.5 (over),,,
2012,2,Seattle Seahawks,Dallas Cowboys,2012-09-16,4:06PM,Seattle,/boxscores/201209160sea.htm,Cowboys,,outdoors,fieldturf ,2:57,"68,008",Dallas Cowboys -3.0,43.0 (under),68 degrees, relative humidity 56%," wind 4 mph, wind chill 0"
2012,2,Pittsburgh Steelers,New York Jets,2012-09-16,4:25PM,Pittsburgh,/boxscores/201209160pit.htm,Steelers,,outdoors,grass ,3:08,"64,511",Pittsburgh Steelers -4.5,43.0 (under),71 degrees, relative humidity 36%, wind 2 mph
2012,2,San Diego Chargers,Tennessee Titans,2012-09-16,4:25PM,San Diego,/boxscores/201209160sdg.htm,Titans (deferred),,outdoors,grass ,3:03,"60,804",San Diego Chargers -6.0,43.5 (over),85 degrees, relative humidity 37%," wind 8 mph, wind chill 0"
2012,2,San Francisco 49ers,Detroit Lions,2012-09-16,8:30PM,San Francisco,/boxscores/201209160sfo.htm,Lions,,outdoors,grass ,3:06,"69,732",San Francisco 49ers -7.0,46.0 (push),62 degrees, relative humidity 62%," wind 15 mph, wind chill 0"
2012,2,Atlanta Falcons,Denver Broncos,2012-09-17,8:41PM,Atlanta,/boxscores/201209170atl.htm,Broncos,,dome,fieldturf ,3:27,"70,427",Atlanta Falcons -3.0,50.5 (under),,,
