name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Ka'imi Fairbairn,HOU,2024,9,K,1,1,4,2,"['54', '29']",7.4
Riley Patterson,NYJ,2024,9,K,3,3,0,0,0,3.0
Brandon Aubrey,DAL,2024,9,K,1,1,2,2,"['34', '57']",10.100000000000001
Younghoe Koo,ATL,2024,9,K,3,3,0,0,0,3.0
Jason Sanders,MIA,2024,9,K,3,3,2,2,"['39', '23']",9.9
Tyler Bass,BUF,2024,9,K,2,1,3,3,"['40', '49', '61']",15.0
Blake Grupe,NOR,2024,9,K,1,1,3,3,"['29', '33', '51']",12.399999999999999
Eddy Pineiro,CAR,2024,9,K,2,2,1,1,['48'],6.8
Daniel Carlson,LVR,2024,9,K,3,3,1,1,['46'],7.6
Evan McPherson,CIN,2024,9,K,5,5,2,2,"['44', '27']",12.4
Cameron Dicker,LAC,2024,9,K,4,3,1,0,0,1.0
Dustin Hopkins,CLE,2024,9,K,1,1,2,1,['38'],3.8
Wil Lutz,DEN,2024,9,K,1,1,1,1,['37'],4.7
Justin Tucker,BAL,2024,9,K,5,5,2,2,"['33', '37']",12.0
Joey Slye,NWE,2024,9,K,2,2,2,1,['52'],6.2
Nick Folk,TEN,2024,9,K,2,2,2,2,"['21', '25']",8.0
Austin Seibert,WAS,2024,9,K,3,3,2,2,"['31', '20']",9.1
Jude McAtamney,NYG,2024,9,K,1,1,1,1,['31'],4.1
Cairo Santos,CHI,2024,9,K,0,0,3,3,"['29', '53', '53']",13.600000000000001
Chad Ryland,ARI,2024,9,K,3,3,2,2,"['29', '55']",11.5
Cam Little,JAX,2024,9,K,1,1,0,0,0,1.0
Jake Elliott,PHI,2024,9,K,1,1,2,1,['43'],4.3
Jake Bates,DET,2024,9,K,3,3,1,1,['27'],6.0
Brandon McManus,GNB,2024,9,K,0,0,3,2,"['30', '38']",5.8
Joshua Karty,LAR,2024,9,K,2,2,2,2,"['38', '21']",8.8
Jason Myers,SEA,2024,9,K,3,2,0,0,0,1.0
Matt Gay,IND,2024,9,K,1,1,3,2,"['42', '54']",9.600000000000001
Will Reichard,MIN,2024,9,K,3,3,2,0,0,1.0
Chase McLaughlin,TAM,2024,9,K,3,3,1,1,['47'],7.7
Harrison Butker,KAN,2024,9,K,3,3,1,1,['40'],7.0
