name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Saquon Barkley,PHI,RB,362.3,16,/players/B/BarkSa00.htm,22.64375
Derrick Henry,BAL,RB,343.4,17,/players/H/HenrDe00.htm,20.2
Jahmyr Gibbs,DET,RB,369.9,17,/players/G/GibbJa01.htm,21.758823529411764
Lamar Jackson,BAL,QB,445.4,17,/players/J/JackLa00.htm,26.2
Ja'Marr Chase,CIN,WR,406.0,17,/players/C/ChasJa00.htm,23.88235294117647
Bijan Robinson,ATL,RB,347.7,17,/players/R/RobiBi01.htm,20.45294117647059
Josh Jacobs,GNB,RB,302.1,17,/players/J/JacoJo01.htm,17.77058823529412
Josh Allen,BUF,QB,393.0,17,/players/A/AlleJo02.htm,23.11764705882353
Joe Burrow,CIN,QB,392.8,17,/players/B/BurrJo01.htm,23.105882352941176
Kyren Williams,LAR,RB,281.1,16,/players/W/WillKy02.htm,17.56875
James Cook,BUF,RB,272.7,16,/players/C/CookJa01.htm,17.04375
Justin Jefferson,MIN,WR,320.5,17,/players/J/JeffJu00.htm,18.852941176470587
Baker Mayfield,TAM,QB,389.8,17,/players/M/MayfBa00.htm,22.929411764705883
Jonathan Taylor,IND,RB,251.7,14,/players/T/TaylJo02.htm,17.978571428571428
George Kittle,SFO,TE,239.6,15,/players/K/KittGe00.htm,15.973333333333333
Jayden Daniels,WAS,QB,370.8,17,/players/D/DaniJa02.htm,21.811764705882354
De'Von Achane,MIA,RB,305.9,17,/players/A/AchaDe00.htm,17.99411764705882
Amon-Ra St. Brown,DET,WR,320.2,17,/players/S/StxxAm00.htm,18.83529411764706
Brian Thomas,JAX,WR,287.0,17,/players/T/ThomBr06.htm,16.88235294117647
Brock Bowers,LVR,TE,265.7,17,/players/B/BoweBr01.htm,15.629411764705882
James Conner,ARI,RB,260.8,16,/players/C/ConnJa00.htm,16.3
Joe Mixon,HOU,RB,246.5,14,/players/M/MixoJo00.htm,17.607142857142858
Terry McLaurin,WAS,WR,271.8,17,/players/M/McLaTe00.htm,15.988235294117647
Trey McBride,ARI,TE,252.8,16,/players/M/McBrTr01.htm,15.8
Chase Brown,CIN,RB,262.0,16,/players/B/BrowCh10.htm,16.375
Drake London,ATL,WR,283.8,17,/players/L/LondDr00.htm,16.694117647058825
Chuba Hubbard,CAR,RB,250.6,15,/players/H/HubbCh01.htm,16.706666666666667
Jonnu Smith,MIA,TE,226.3,17,/players/S/SmitJo01.htm,13.311764705882354
Mark Andrews,BAL,TE,191.8,17,/players/A/AndrMa00.htm,11.282352941176471
Bucky Irving,TAM,RB,251.4,17,/players/I/IrviBu00.htm,14.788235294117648
Alvin Kamara,NOR,RB,271.3,14,/players/K/KamaAl00.htm,19.37857142857143
Aaron Jones,MIN,RB,250.6,17,/players/J/JoneAa00.htm,14.741176470588234
Jared Goff,DET,QB,339.5,17,/players/G/GoffJa00.htm,19.970588235294116
David Montgomery,DET,RB,228.7,14,/players/M/MontDa01.htm,16.335714285714285
Mike Evans,TAM,WR,243.4,14,/players/E/EvanMi00.htm,17.385714285714286
Breece Hall,NYJ,RB,248.9,16,/players/H/HallBr03.htm,15.55625
Malik Nabers,NYG,WR,276.6,15,/players/N/NabeMa00.htm,18.44
Bo Nix,DEN,QB,335.2,17,/players/N/NixxBo00.htm,19.71764705882353
Jalen Hurts,PHI,QB,331.1,15,/players/H/HurtJa00.htm,22.073333333333334
