name,team,opponent,date,year,week,position,fpoints_ppr
Jonathan Taylor,IND,MIA,2025-09-07,2025,1,RB,12.8
Jonathan Taylor,IND,DEN,2025-09-14,2025,2,RB,32.5
Jonathan Taylor,IND,TEN,2025-09-21,2025,3,RB,35.8
Jonathan Taylor,IND,LAR,2025-09-28,2025,4,RB,14.6
Jonathan Taylor,IND,LVR,2025-10-05,2025,5,RB,31.6
Jonathan Taylor,IND,ARI,2025-10-12,2025,6,RB,26.7
Jonathan Taylor,IND,LAC,2025-10-19,2025,7,RB,34.2
Jonathan Taylor,IND,TEN,2025-10-26,2025,8,RB,40.4
Jonathan Taylor,IND,PIT,2025-11-02,2025,9,RB,7.7
Jonathan Taylor,IND,ATL,2025-11-09,2025,10,RB,52.6
Christian McCaffrey,SFO,SEA,2025-09-07,2025,1,RB,23.2
Christian McCaffrey,SFO,NOR,2025-09-14,2025,2,RB,22.7
Christian McCaffrey,SFO,ARI,2025-09-21,2025,3,RB,24.0
Christian McCaffrey,SFO,JAX,2025-09-28,2025,4,RB,26.1
Christian McCaffrey,SFO,LAR,2025-10-02,2025,5,RB,27.9
Christian McCaffrey,SFO,TAM,2025-10-12,2025,6,RB,24.1
Christian McCaffrey,SFO,ATL,2025-10-19,2025,7,RB,42.1
Christian McCaffrey,SFO,HOU,2025-10-26,2025,8,RB,9.8
Christian McCaffrey,SFO,NYG,2025-11-02,2025,9,RB,37.3
Christian McCaffrey,SFO,LAR,2025-11-09,2025,10,RB,17.6
De'Von Achane,MIA,IND,2025-09-07,2025,1,RB,16.5
De'Von Achane,MIA,NWE,2025-09-14,2025,2,RB,26.2
De'Von Achane,MIA,BUF,2025-09-18,2025,3,RB,16.1
De'Von Achane,MIA,NYJ,2025-09-29,2025,4,RB,17.1
De'Von Achane,MIA,CAR,2025-10-05,2025,5,RB,16.6
De'Von Achane,MIA,LAC,2025-10-12,2025,6,RB,34.0
De'Von Achane,MIA,CLE,2025-10-19,2025,7,RB,12.8
De'Von Achane,MIA,ATL,2025-10-26,2025,8,RB,20.1
De'Von Achane,MIA,BAL,2025-10-30,2025,9,RB,16.6
De'Von Achane,MIA,BUF,2025-11-09,2025,10,RB,43.5
Jahmyr Gibbs,DET,GNB,2025-09-07,2025,1,RB,15.0
Jahmyr Gibbs,DET,CHI,2025-09-14,2025,2,RB,19.4
Jahmyr Gibbs,DET,BAL,2025-09-22,2025,3,RB,26.9
Jahmyr Gibbs,DET,CLE,2025-09-28,2025,4,RB,17.7
Jahmyr Gibbs,DET,CIN,2025-10-05,2025,5,RB,16.7
Jahmyr Gibbs,DET,KAN,2025-10-12,2025,6,RB,7.5
Jahmyr Gibbs,DET,TAM,2025-10-20,2025,7,RB,39.8
Jahmyr Gibbs,DET,MIN,2025-11-02,2025,8,RB,5.8
Jahmyr Gibbs,DET,WAS,2025-11-09,2025,9,RB,41.2
Josh Jacobs,GNB,DET,2025-09-07,2025,1,RB,14.0
Josh Jacobs,GNB,WAS,2025-09-11,2025,2,RB,14.4
Josh Jacobs,GNB,CLE,2025-09-21,2025,3,RB,12.4
Josh Jacobs,GNB,DAL,2025-09-28,2025,4,RB,31.7
Josh Jacobs,GNB,CIN,2025-10-12,2025,5,RB,32.0
Josh Jacobs,GNB,ARI,2025-10-19,2025,6,RB,18.8
Josh Jacobs,GNB,PIT,2025-10-26,2025,7,RB,13.5
Josh Jacobs,GNB,CAR,2025-11-02,2025,8,RB,20.0
Josh Jacobs,GNB,PHI,2025-11-10,2025,9,RB,20.7
James Cook,BUF,BAL,2025-09-07,2025,1,RB,21.2
James Cook,BUF,NYJ,2025-09-14,2025,2,RB,29.5
James Cook,BUF,MIA,2025-09-18,2025,3,RB,23.8
James Cook,BUF,NOR,2025-09-28,2025,4,RB,25.5
James Cook,BUF,NWE,2025-10-05,2025,5,RB,4.9
James Cook,BUF,ATL,2025-10-13,2025,6,RB,8.7
James Cook,BUF,CAR,2025-10-26,2025,7,RB,36.6
James Cook,BUF,KAN,2025-11-02,2025,8,RB,16.5
James Cook,BUF,MIA,2025-11-09,2025,9,RB,11.7
