team,QB_points_allowed_half,RB_points_allowed_half,WR_points_allowed_half,TE_points_allowed_half
Dallas Cowboys,25.4,24.5,34.6,10.8
Washington Commanders,21.7,22.3,32.6,12.9
New York Giants,21.4,24.5,29.8,10.0
Miami Dolphins,19.7,22.1,21.4,14.4
Cincinnati Bengals,22.1,30.9,26.2,19.4
Jacksonville Jaguars,22.3,17.5,28.7,15.2
Chicago Bears,22.2,20.1,31.8,12.0
San Francisco 49ers,18.7,19.8,28.3,11.4
Pittsburgh Steelers,20.6,16.8,32.7,13.9
New York Jets,19.0,20.2,24.6,11.9
Baltimore Ravens,19.0,23.2,31.2,9.6
New Orleans Saints,16.7,20.3,25.3,11.2
Detroit Lions,18.9,14.4,29.0,10.9
New England Patriots,16.9,14.4,28.1,12.4
Indianapolis Colts,16.7,17.9,28.6,13.7
Tennessee Titans,18.0,24.3,28.9,9.4
Carolina Panthers,16.3,19.6,21.5,13.0
Seattle Seahawks,17.6,17.4,23.9,13.7
Minnesota Vikings,17.0,18.0,23.1,12.3
Tampa Bay Buccaneers,17.3,21.6,27.5,9.6
Las Vegas Raiders,16.7,19.8,30.3,7.3
Kansas City Chiefs,16.4,16.6,20.1,8.4
Los Angeles Rams,15.7,13.8,25.7,12.0
Philadelphia Eagles,17.5,21.3,25.6,6.0
Atlanta Falcons,15.3,24.3,23.1,5.3
Los Angeles Chargers,13.9,18.4,20.9,8.1
Arizona Cardinals,14.7,20.3,26.0,10.9
Denver Broncos,13.1,16.7,19.4,9.2
Cleveland Browns,14.6,15.0,25.3,9.7
Green Bay Packers,15.8,15.8,25.8,12.4
Buffalo Bills,13.6,23.6,25.3,4.9
Houston Texans,12.3,17.9,21.7,7.0
