pfr_id,player,position,team,opp
ODonPa00,Pat O'Donnell,P,ARI,DAL
PiniBr00,Bradley Pinion,P,ATL,NE
StouJo00,Jordan Stout,P,BAL,MIA
WishMi00,Mitch Wishnowsky,P,BUF,KC
MartSa01,Sam Martin,P,CAR,GB
TaylTo01,Tory Taylor,P,CHI,CIN
RehkRy00,Ryan Rehkow,P,CIN,CHI
AngeBr00,Bryan Anger,P,DAL,ARI
CrawJe00,Jeremy Crawshaw,P,DEN,HOU
FoxxJa01,Jack Fox,P,DET,MIN
WhelDa00,Daniel Whelan,P,GB,CAR
TownTo01,Tommy Townsend,P,HOU,DEN
SancRi00,Rigoberto Sanchez,P,IND,PIT
CookLo00,Logan Cooke,P,JAX,LV
AraiMa00,Matt Araiza,P,KC,BUF
EvanEt00,Ethan Evans,P,LA,NO
ScotJK00,J.K. Scott,P,LAC,TEN
ColeAJ01,AJ Cole,P,LV,JAX
BailJa00,Jake Bailey,P,MIA,BAL
WrigRy00,Ryan Wright,P,MIN,DET
BariBr00,Bryce Baringer,P,NE,ATL
KroeKa00,Kai Kroeger,P,NO,LA
GillJa00,Jamie Gillan,P,NYG,SF
WaitCo00,Corliss Waitman,P,PIT,IND
DickMi00,Michael Dickson,P,SEA,WAS
MorsTh00,Thomas Morstead,P,SF,NYG
HekkJo00,Johnny Hekker,P,TEN,LAC
WayxTr00,Tress Way,P,WAS,SEA
